(HashSet(Sugar, Sweet, Tea Powder, Ghee, Yougurt, Cheese, Bread),(46,0.0036726547))
(HashSet(Butter, Sweet, Tea Powder, Ghee, Bread, Milk, Panner),(46,0.0036726547))
(HashSet(Sugar, Butter, Sweet, Ghee, Yougurt, Milk, Bread),(46,0.0036726547))
(HashSet(Tea Powder, Ghee, Yougurt, Lassi, Bread, Milk, Panner),(46,0.0036726547))
(HashSet(Tea Powder, Yougurt, Milk, Lassi, Coffee Powder, Cheese, Bread),(46,0.0036726547))
(HashSet(Sweet, Tea Powder, Ghee, Lassi, Coffee Powder, Cheese, Bread),(46,0.0036726547))
(HashSet(Sugar, Tea Powder, Ghee, Coffee Powder, Cheese, Milk, Panner),(46,0.0036726547))
(HashSet(Butter, Sweet, Tea Powder, Yougurt, Lassi, Milk, Panner),(46,0.0036726547))
(HashSet(Sugar, Sweet, Tea Powder, Ghee, Yougurt, Coffee Powder, Bread),(46,0.0036726547))
(HashSet(Sugar, Sweet, Yougurt, Lassi, Coffee Powder, Cheese, Bread),(46,0.0036726547))
(HashSet(Sugar, Butter, Sweet, Tea Powder, Ghee, Yougurt, Milk),(46,0.0036726547))
(HashSet(Sugar, Tea Powder, Ghee, Cheese, Bread, Milk, Panner),(46,0.0036726547))
(HashSet(Sweet, Tea Powder, Yougurt, Milk, Lassi, Cheese, Bread),(46,0.0036726547))
(HashSet(Butter, Tea Powder, Lassi, Coffee Powder, Cheese, Milk, Panner),(46,0.0036726547))
(HashSet(Sugar, Butter, Sweet, Ghee, Yougurt, Coffee Powder, Cheese),(46,0.0036726547))
(HashSet(Sugar, Butter, Tea Powder, Panner, Lassi, Coffee Powder, Cheese),(46,0.0036726547))
(HashSet(Sugar, Butter, Tea Powder, Ghee, Coffee Powder, Cheese, Bread),(46,0.0036726547))
(HashSet(Sugar, Butter, Tea Powder, Ghee, Yougurt, Lassi, Cheese),(46,0.0036726547))
(HashSet(Sugar, Tea Powder, Ghee, Milk, Lassi, Coffee Powder, Cheese),(46,0.0036726547))
(HashSet(Butter, Tea Powder, Yougurt, Lassi, Bread, Milk, Panner),(46,0.0036726547))
(HashSet(Sugar, Butter, Sweet, Tea Powder, Yougurt, Lassi, Cheese),(46,0.0036726547))
(HashSet(Sweet, Tea Powder, Ghee, Yougurt, Lassi, Milk, Panner),(46,0.0036726547))
(HashSet(Sugar, Sweet, Ghee, Yougurt, Lassi, Coffee Powder, Bread),(46,0.0036726547))
(HashSet(Sweet, Tea Powder, Yougurt, Milk, Coffee Powder, Cheese, Bread),(46,0.0036726547))
(HashSet(Sugar, Tea Powder, Yougurt, Milk, Lassi, Cheese, Bread),(46,0.0036726547))
(HashSet(Sugar, Butter, Sweet, Ghee, Panner, Coffee Powder, Bread),(46,0.0036726547))
(HashSet(Tea Powder, Ghee, Lassi, Coffee Powder, Cheese, Milk, Panner),(46,0.0036726547))
(HashSet(Butter, Sweet, Tea Powder, Ghee, Coffee Powder, Milk, Panner),(46,0.0036726547))
(HashSet(Butter, Tea Powder, Ghee, Panner, Lassi, Cheese, Bread),(46,0.0036726547))
(HashSet(Sugar, Sweet, Tea Powder, Ghee, Panner, Cheese, Bread),(46,0.0036726547))
(HashSet(Sugar, Tea Powder, Ghee, Yougurt, Panner, Lassi, Cheese),(47,0.003752495))
(HashSet(Sugar, Sweet, Ghee, Yougurt, Coffee Powder, Cheese, Bread),(47,0.003752495))
(HashSet(Butter, Tea Powder, Ghee, Milk, Lassi, Cheese, Bread),(47,0.003752495))
(HashSet(Sugar, Butter, Yougurt, Panner, Coffee Powder, Cheese, Bread),(47,0.003752495))
(HashSet(Sugar, Tea Powder, Ghee, Panner, Lassi, Coffee Powder, Cheese),(47,0.003752495))
(HashSet(Butter, Sweet, Ghee, Panner, Lassi, Coffee Powder, Bread),(47,0.003752495))
(HashSet(Butter, Tea Powder, Yougurt, Panner, Lassi, Coffee Powder, Cheese),(47,0.003752495))
(HashSet(Sugar, Tea Powder, Ghee, Yougurt, Lassi, Coffee Powder, Cheese),(47,0.003752495))
(HashSet(Butter, Sweet, Tea Powder, Panner, Lassi, Cheese, Bread),(47,0.003752495))
(HashSet(Sugar, Butter, Sweet, Ghee, Yougurt, Panner, Cheese),(47,0.003752495))
(HashSet(Sugar, Tea Powder, Ghee, Panner, Coffee Powder, Cheese, Bread),(47,0.003752495))
(HashSet(Sugar, Butter, Tea Powder, Yougurt, Bread, Milk, Panner),(47,0.003752495))
(HashSet(Sugar, Butter, Tea Powder, Panner, Lassi, Cheese, Bread),(47,0.003752495))
(HashSet(Butter, Sweet, Tea Powder, Ghee, Yougurt, Panner, Coffee Powder),(47,0.003752495))
(HashSet(Sugar, Butter, Sweet, Tea Powder, Yougurt, Milk, Cheese),(47,0.003752495))
(HashSet(Sugar, Tea Powder, Yougurt, Cheese, Bread, Milk, Panner),(47,0.003752495))
(HashSet(Sweet, Tea Powder, Ghee, Milk, Lassi, Cheese, Bread),(47,0.003752495))
(HashSet(Butter, Sweet, Tea Powder, Ghee, Yougurt, Coffee Powder, Cheese),(47,0.003752495))
(HashSet(Butter, Tea Powder, Yougurt, Lassi, Cheese, Milk, Panner),(47,0.003752495))
(HashSet(Butter, Tea Powder, Yougurt, Cheese, Bread, Milk, Panner),(47,0.003752495))
(HashSet(Tea Powder, Yougurt, Lassi, Coffee Powder, Cheese, Milk, Panner),(47,0.003752495))
(HashSet(Sugar, Butter, Sweet, Tea Powder, Yougurt, Panner, Lassi),(47,0.003752495))
(HashSet(Sugar, Sweet, Tea Powder, Yougurt, Lassi, Coffee Powder, Cheese),(47,0.003752495))
(HashSet(Sugar, Sweet, Tea Powder, Ghee, Lassi, Cheese, Bread),(47,0.003752495))
(HashSet(Butter, Sweet, Tea Powder, Yougurt, Lassi, Coffee Powder, Bread),(47,0.003752495))
(HashSet(Sugar, Sweet, Milk, Lassi, Coffee Powder, Cheese, Bread),(47,0.003752495))
